0,1,2
จำนวนคอมพิวเตอร์เพื่อการเรียนการสอน,งบประมาณ สพฐ.,30 เครื่อง
จำนวนคอมพิวเตอร์เพื่อการเรียนการสอน,จัดหาเอง/บริจาค:,10 เครื่อง
จำนวนคอมพิวเตอร์เพื่อการเรียนการสอน,รวม,40 เครื่อง
จำนวนคอมพิวเตอร์เพื่อการเรียนการสอน,ใช้งานได้:,20 เครื่อง
จำนวนคอมพิวเตอร์เพื่อการเรียนการสอน,ใช้งานไม่ได้:,20 เครื่อง
จำนวนคอมพิวเตอร์เพื่อการบริหารจัดการ,งบประมาณ สพฐ.,2 เครื่อง
จำนวนคอมพิวเตอร์เพื่อการบริหารจัดการ,จัดหาเอง/บริจาค:,1 เครื่อง
จำนวนคอมพิวเตอร์เพื่อการบริหารจัดการ,รวม,3 เครื่อง
จำนวนคอมพิวเตอร์เพื่อการบริหารจัดการ,ใช้งานได้:,3 เครื่อง
จำนวนคอมพิวเตอร์เพื่อการบริหารจัดการ,ใช้งานไม่ได้:,0 เครื่อง
จำนวนคอมพิวเตอรทั้งหมด,คอมพิวเตอร์:,43 เครื่อง
จำนวนคอมพิวเตอรทั้งหมด,ใช้งานได้:,23 เครื่อง
จำนวนคอมพิวเตอรทั้งหมด,ใช้งานไม่ได้:,20 เครื่อง
